Source,Teff[K],Luminosity[Lsun],Ref,e_Teff[K],e_Luminosity[Lsun],logmass[Msun],lw_logmass[Msun],up_logmass[Msun],logage[yrs],lw_logage[yrs],up_logage[yrs],mass[Msun],lw_mass[Msun],up_mass[Msun],age[Myrs],lw_age[Myrs],up_age[Myrs],flag
J11103801-7732399,4590.0,1.9,M16b,211.3773115368533,0.43749116766886875,0.05424250943932575,-0.035757490560674364,0.14424250943932582,6.148970004336009,5.918970004336014,6.388970004336004,1.1330328706147528,0.9209636930526803,1.3939349570212363,1.4091914656321956,0.8297934537187712,2.4488940968421478,good
J11104141-7720480,3060.0,0.015,M16b,70.45910384561783,0.0034538776394910683,-0.9699999999999991,-1.0599999999999992,-0.869999999999999,6.958970004335992,6.768970004335996,7.138970004335988,0.10715193052376087,0.08709635899560823,0.13489628825916566,9.098504293049354,5.8744877746973385,13.771143516689857,good
J11104959-7717517,3560.0,0.15,M16b,163.9440586211761,0.03453877639491069,-0.37999999999999856,-0.49999999999999867,-0.24999999999999847,6.658970004335998,6.348970004336005,6.958970004335992,0.4168693834703368,0.3162277660168389,0.5623413251903511,4.560054196779333,2.2334179607547444,9.098504293049354,good
J11105333-7634319,3415.0,0.16,M16b,78.63328092574669,0.036841361487904734,-0.5199999999999987,-0.5899999999999987,-0.4499999999999986,6.398970004336004,6.208970004336008,6.588970004336,0.30199517204020254,0.2570395782768871,0.3548133892335766,2.505936168136275,1.6179682846481007,3.8812355831432885,good
J11105359-7725004,3125.0,0.035,M16b,71.95578415606396,0.008059047825479162,-0.829999999999999,-0.909999999999999,-0.7299999999999989,6.708970004335997,6.518970004336001,6.888970004335993,0.1479108388168211,0.12302687708123843,0.18620871366628722,5.1164649614035165,3.303467240037847,7.744083094561953,good
J11105597-7645325,2935.0,0.13,M16b,67.58087247937524,0.029933606208922603,-0.9699999999999991,-1.1199999999999992,-0.909999999999999,5.698970004336019,,,0.10715193052376087,0.07585775750291851,0.12302687708123843,0.49999999999999994,,,toobright
J11111083-7641574,3705.0,0.003,M16b,170.62155539085884,0.0006907755278982141,-0.37999999999999856,-0.47999999999999865,-0.2799999999999985,6.48,,,0.4168693834703368,0.3311311214825921,0.5248074602497744,3.019951720402019,,,toofaint
J11113965-7620152,3340.0,0.29,M16a,76.90634210600115,0.06677496769682732,-0.5999999999999988,-0.6599999999999988,-0.5299999999999987,5.988970004336013,5.8489700043360155,6.168970004336009,0.25118864315095873,0.21877616239495584,0.2951209226666395,0.9749222998790087,0.7062687723113719,1.4756046133331586,good
J11114632-7620092,4900.0,1.03,M16a,225.6533391134166,0.23716626457838674,0.09424250943932577,0.0642425094393257,0.14424250943932582,6.778970004335996,6.528970004336001,7.03897000433599,1.242345838142599,1.1594245965238228,1.3939349570212363,6.011322173086745,3.380414876959771,10.938808119747042,good
J11120351-7726009,3060.0,0.07,M16b,70.45910384561783,0.016118095650958324,-0.909999999999999,-1.0199999999999991,-0.819999999999999,6.3189700043360055,6.11897000433601,6.488970004336002,0.12302687708123843,0.09549925860214378,0.15135612484362118,2.0843469173516134,1.3151339959476638,3.0829750093072907,good
J11120984-7634366,3125.0,0.14,M16b,71.95578415606396,0.03223619130191665,-0.8099999999999989,-0.869999999999999,-0.7499999999999989,6.148970004336009,5.968970004336013,6.598970004336,0.15488166189124852,0.13489628825916566,0.17782794100389274,1.4091914656321956,0.9310435683314212,3.9716411736212316,good
J11122441-7637064,4900.0,0.64,M16a,225.6533391134166,0.14736544595161893,0.0342425094393257,-0.005757490560674293,0.07424250943932574,7.1189700043359885,6.868970004335994,7.388970004335983,1.0820379911556737,0.9868303765288684,1.1864310647007688,13.15133995947599,7.395541940840611,24.488940968420273,good
J11122772-7644223,5110.0,2.55,M16a,235.32419650399152,0.5871591987134818,0.20424250943932587,0.16424250943932583,0.2642425094393259,6.418970004336003,6.188970004336008,6.668970004335998,1.6004514690350342,1.4596290876230402,1.8375641502025808,2.62403730124877,1.545147716256758,4.666271503984732,good
